site_id,class_label,name,latitude,longitude,year,source,notes
# PLANE_FOREST — Aircraft crashes in forested terrain
PF001,PLANE_FOREST,Aeroflot Flight 821 (Perm),57.9825,56.1867,2008,ASN/Wikipedia,Boeing 737 crashed into forest on approach
PF002,PLANE_FOREST,Sukhoi Superjet 100 Demo (Indonesia),-6.7206,106.9311,2012,ASN/Wikipedia,Crashed into Mount Salak during demo flight
PF003,PLANE_FOREST,LAPA Flight 3142 (Buenos Aires),-34.5636,-58.4156,1999,ASN/Wikipedia,Boeing 737 overran runway into forest/open area
PF004,PLANE_FOREST,Germanwings Flight 9525 (French Alps),44.2804,6.4339,2015,ASN/Wikipedia,A320 crashed into mountainous forested terrain
PF005,PLANE_FOREST,Iran Aseman Airlines Flight 3704,32.8400,51.1200,2018,ASN/Wikipedia,ATR 72 crashed into Zagros Mountains
PF006,PLANE_FOREST,Cebu Pacific Flight 387,7.0650,125.6080,1998,ASN/Wikipedia,DC-9 crashed into hillside forest
PF007,PLANE_FOREST,Air India Express Flight 812,10.1600,76.3850,2010,ASN/Wikipedia,Boeing 737 overshot runway into ravine
PF008,PLANE_FOREST,Yeti Airlines Flight 691,28.2064,83.9856,2023,ASN/Wikipedia,ATR 72 crashed into Seti River gorge
PF009,PLANE_FOREST,Ethiopian Airlines Flight 302,8.8769,39.2515,2019,ASN/Wikipedia,Boeing 737 MAX crashed in open/agricultural terrain
PF010,PLANE_FOREST,Pakistan International Airlines Flight 661,34.0500,73.2500,2016,ASN/Wikipedia,ATR 42 crashed into hillside

# PLANE_WATER — Aircraft crashes in water
PW001,PLANE_WATER,AirAsia Flight 8501 (Java Sea),-3.6214,109.6951,2014,ASN/Wikipedia,A320 crashed into Java Sea
PW002,PLANE_WATER,Lion Air Flight 610 (Java Sea),-5.7833,110.3000,2018,ASN/Wikipedia,Boeing 737 MAX crashed into Java Sea
PW003,PLANE_WATER,Ethiopian Airlines Flight 961 (Comoros),-12.3072,44.2617,1996,ASN/Wikipedia,Boeing 767 ditched near Comoros coast
PW004,PLANE_WATER,US Airways Flight 1549 (Hudson River),40.7727,-73.9876,2009,ASN/Wikipedia,A320 ditched in Hudson River
PW005,PLANE_WATER,Transasia Airways Flight 235,25.0147,121.5583,2015,ASN/Wikipedia,ATR 72 crashed into Keelung River

# PLANE_OPEN_TERRAIN — Aircraft crashes on open ground
